,filename,num_rows,filesize_MB,central_ra,central_dec
22797,chunk_ra_58.5_dec_33.5_table.h5,59195,8.1940336227417,58.5,33.5
22798,chunk_ra_59.5_dec_31.5_table.h5,58573,8.1089506149292,59.5,31.5
22799,chunk_ra_59.5_dec_32.5_table.h5,64993,8.934074401855469,59.5,32.5
22800,chunk_ra_59.5_dec_33.5_table.h5,58751,8.148351669311523,59.5,33.5
22801,chunk_ra_60.5_dec_31.5_table.h5,61819,8.541894912719727,60.5,31.5
22802,chunk_ra_60.5_dec_32.5_table.h5,64818,8.8771333694458,60.5,32.5
22803,chunk_ra_60.5_dec_33.5_table.h5,62226,8.563027381896973,60.5,33.5
22804,chunk_ra_61.5_dec_31.5_table.h5,66193,9.0432710647583,61.5,31.5
22805,chunk_ra_61.5_dec_32.5_table.h5,69748,9.519511222839355,61.5,32.5
22806,chunk_ra_61.5_dec_33.5_table.h5,63886,8.728170394897461,61.5,33.5
22807,chunk_ra_62.5_dec_31.5_table.h5,66688,9.068340301513672,62.5,31.5
22808,chunk_ra_62.5_dec_32.5_table.h5,69414,9.399370193481444,62.5,32.5
22809,chunk_ra_62.5_dec_33.5_table.h5,66106,8.965592384338379,62.5,33.5
22810,chunk_ra_63.5_dec_31.5_table.h5,68897,9.342373847961426,63.5,31.5
22811,chunk_ra_63.5_dec_32.5_table.h5,73045,9.88968276977539,63.5,32.5
22812,chunk_ra_63.5_dec_33.5_table.h5,67437,9.122485160827637,63.5,33.5
22813,chunk_ra_64.5_dec_31.5_table.h5,68589,9.28882122039795,64.5,31.5
22814,chunk_ra_64.5_dec_32.5_table.h5,76184,10.180785179138184,64.5,32.5
22815,chunk_ra_64.5_dec_33.5_table.h5,70154,9.44591999053955,64.5,33.5
22816,chunk_ra_65.5_dec_31.5_table.h5,72093,9.674578666687012,65.5,31.5
22817,chunk_ra_65.5_dec_32.5_table.h5,76164,10.166248321533203,65.5,32.5
22818,chunk_ra_65.5_dec_33.5_table.h5,71960,9.653218269348145,65.5,33.5
22819,chunk_ra_66.5_dec_31.5_table.h5,68027,9.056118965148926,66.5,31.5
22820,chunk_ra_66.5_dec_32.5_table.h5,76099,10.138764381408691,66.5,32.5
22821,chunk_ra_66.5_dec_33.5_table.h5,73717,9.836027145385742,66.5,33.5
22822,chunk_ra_67.5_dec_31.5_table.h5,69499,9.248985290527344,67.5,31.5
22823,chunk_ra_67.5_dec_32.5_table.h5,77331,10.270626068115234,67.5,32.5
22824,chunk_ra_67.5_dec_33.5_table.h5,71537,9.472071647644045,67.5,33.5
22825,chunk_ra_68.5_dec_31.5_table.h5,78886,10.422739028930664,68.5,31.5
22826,chunk_ra_68.5_dec_32.5_table.h5,77842,10.236830711364746,68.5,32.5
22827,chunk_ra_68.5_dec_33.5_table.h5,70057,9.210299491882324,68.5,33.5
22828,chunk_ra_69.5_dec_31.5_table.h5,72939,9.60317039489746,69.5,31.5
22829,chunk_ra_69.5_dec_32.5_table.h5,76439,9.933403968811035,69.5,32.5
22830,chunk_ra_69.5_dec_33.5_table.h5,69013,9.019612312316896,69.5,33.5
22831,chunk_ra_70.5_dec_31.5_table.h5,65824,8.67797565460205,70.5,31.5
22832,chunk_ra_70.5_dec_32.5_table.h5,73925,9.61043643951416,70.5,32.5
22833,chunk_ra_70.5_dec_33.5_table.h5,70043,9.151270866394045,70.5,33.5
22834,chunk_ra_71.5_dec_31.5_table.h5,70170,9.088510513305664,71.5,31.5
22835,chunk_ra_71.5_dec_32.5_table.h5,76332,9.833175659179688,71.5,32.5
22836,chunk_ra_71.5_dec_33.5_table.h5,76169,9.864862442016602,71.5,33.5
22837,chunk_ra_72.5_dec_31.5_table.h5,78453,10.083036422729492,72.5,31.5
22838,chunk_ra_72.5_dec_32.5_table.h5,79856,10.275582313537598,72.5,32.5
22839,chunk_ra_72.5_dec_33.5_table.h5,74486,9.620266914367676,72.5,33.5
22840,chunk_ra_73.5_dec_31.5_table.h5,75948,9.803970336914062,73.5,31.5
22841,chunk_ra_73.5_dec_32.5_table.h5,84149,10.754592895507812,73.5,32.5
22842,chunk_ra_73.5_dec_33.5_table.h5,81263,10.440138816833496,73.5,33.5
22843,chunk_ra_74.5_dec_31.5_table.h5,85049,10.87984561920166,74.5,31.5
22844,chunk_ra_74.5_dec_32.5_table.h5,84258,10.695630073547363,74.5,32.5
22845,chunk_ra_74.5_dec_33.5_table.h5,88169,11.202136039733888,74.5,33.5
22846,chunk_ra_75.5_dec_31.5_table.h5,85907,10.893184661865234,75.5,31.5
22847,chunk_ra_75.5_dec_32.5_table.h5,85971,10.827292442321776,75.5,32.5
22848,chunk_ra_75.5_dec_33.5_table.h5,84451,10.670533180236816,75.5,33.5
22849,chunk_ra_76.5_dec_31.5_table.h5,83825,10.635530471801758,76.5,31.5
22850,chunk_ra_76.5_dec_32.5_table.h5,88349,11.121759414672852,76.5,32.5
22851,chunk_ra_76.5_dec_33.5_table.h5,91461,11.559420585632324,76.5,33.5
22852,chunk_ra_77.5_dec_31.5_table.h5,96481,12.138165473937988,77.5,31.5
